id;idn_var_permissions;n_var_nome;n_var_tipo_permissao;idn_var_usuario
1;Sports JSON IB;Rubber digital;auxiliary;PCI reintermediate white
2;Buckinghamshire;zero payment Solutions;Rustic;Open-architected streamline Ergonomic
3;Customer;indigo payment grey;Indonesia synthesizing;azure Account leading-edge
4;Managed Keyboard;Stand-alone SMS Via;Bedfordshire;Exclusive deposit
5;Quality-focused cross-platform invoice;Wooden Hampshire SCSI;Czech Berkshire world-class;demand-driven Albania
6;invoice policy Account;system-worthy Stand-alone;seamless;Granite Corporate
7;Forward Intelligent deliverables;disintermediate;Bike orange;Grocery South
8;Internal;Administrator Metrics;wireless protocol mindshare;synthesizing
9;invoice Pennsylvania;Director;schemas Singapore object-oriented;redundant SMS background
10;Home synthesizing;back-end schemas;Salad Investor Legacy;Outdoors Forward reboot
